101010100 北京,北京
101160702 甘肃,肃南
101160703 甘肃,民乐
101160704 甘肃,临泽
101160705 甘肃,高台
101160706 甘肃,山丹
101160801 甘肃,酒泉
101160803 甘肃,金塔
101160804 甘肃,阿克塞
101160805 甘肃,瓜州
101160806 甘肃,肃北
101160807 甘肃,玉门
101160808 甘肃,敦煌
101160901 甘肃,天水
101160903 甘肃,清水
101160904 甘肃,秦安
101160905 甘肃,甘谷
101160906 甘肃,武山
101160907 甘肃,张家川
101160908 甘肃,麦积
101161001 甘肃,武都
101161002 甘肃,成县
101161003 甘肃,文县
101161004 甘肃,宕昌
101161005 甘肃,康县
101161006 甘肃,西和
101161007 甘肃,礼县
101161008 甘肃,徽县
101161009 甘肃,两当
101161101 甘肃,临夏
101161102 甘肃,康乐
101161103 甘肃,永靖
101161104 甘肃,广河
101161105 甘肃,和政
101161106 甘肃,东乡
101161107 甘肃,积石山
101161201 甘肃,合作
101161202 甘肃,临潭
101161203 甘肃,卓尼
101161204 甘肃,舟曲
101161205 甘肃,迭部
101161206 甘肃,玛曲
101161207 甘肃,碌曲
101161208 甘肃,夏河
101161301 甘肃,白银
101161302 甘肃,靖远
101161303 甘肃,会宁
101161304 甘肃,平川
101161305 甘肃,景泰
101161401 甘肃,嘉峪关
101170101 宁夏,银川
101170102 宁夏,永宁
101170103 宁夏,灵武
101170104 宁夏,贺兰
101170201 宁夏,石嘴山
101170202 宁夏,惠农
101170203 宁夏,平罗
101170204 宁夏,陶乐
101170301 宁夏,吴忠
101170302 宁夏,同心
101170303 宁夏,盐池
101170306 宁夏,青铜峡
101170401 宁夏,固原
101170402 宁夏,西吉
101170403 宁夏,隆德
101170404 宁夏,泾源
101170406 宁夏,彭阳
101170501 宁夏,中卫
101170502 宁夏,中宁
101170504 宁夏,海原
101180101 河南,郑州
101180102 河南,巩义
101180103 河南,荥阳
101180104 河南,登封
101180105 河南,新密
101180106 河南,新郑
101180107 河南,中牟
101180108 河南,上街
101180201 河南,安阳
101180202 河南,汤阴
101180203 河南,滑县
101180204 河南,内黄
101180205 河南,林州
101180301 河南,新乡
101180302 河南,获嘉
101180303 河南,原阳
101180304 河南,辉县
101180305 河南,卫辉
101180306 河南,延津
101180307 河南,封丘
101180308 河南,长垣
101180401 河南,许昌
101180402 河南,鄢陵
101180403 河南,襄城
101180404 河南,长葛
101180405 河南,禹州
101180501 河南,平顶山
101180502 河南,郏县
101180503 河南,宝丰
101180504 河南,汝州
101180505 河南,叶县
101180506 河南,舞钢
101180507 河南,鲁山
101180508 河南,石龙
101180601 河南,信阳
101180602 河南,息县
101180603 河南,罗山
101180604 河南,光山
101180605 河南,新县
101180606 河南,淮滨
101180607 河南,潢川
101180608 河南,固始
101180609 河南,商城
101180701 河南,南阳
101180702 河南,南召
101180703 河南,方城
101180704 河南,社旗
101180705 河南,西峡
101180706 河南,内乡
101180707 河南,镇平
101180708 河南,淅川
101180709 河南,新野
101180710 河南,唐河
101180711 河南,邓州
101180712 河南,桐柏
101180801 河南,开封
101180802 河南,杞县
101180803 河南,尉氏
101180804 河南,通许
101180805 河南,兰考
101180901 河南,洛阳
101180902 河南,新安
101180903 河南,孟津
101180904 河南,宜阳
101180905 河南,洛宁
101180906 河南,伊川
101180907 河南,嵩县
101180908 河南,偃师
101180909 河南,栾川
101180910 河南,汝阳
101180911 河南,吉利
101181001 河南,商丘
101181003 河南,睢县
101181004 河南,民权
101181005 河南,虞城
101181006 河南,柘城
101181007 河南,宁陵
101181008 河南,夏邑
101181009 河南,永城
101181101 河南,焦作
101181102 河南,修武
101181103 河南,武陟
101181104 河南,沁阳
101181106 河南,博爱
101181107 河南,温县
101181108 河南,孟州
101181201 河南,鹤壁
101181202 河南,浚县
101181203 河南,淇县
101181301 河南,濮阳
101181302 河南,台前
101181303 河南,南乐
101181304 河南,清丰
101181305 河南,范县
101181401 河南,周口
101181402 河南,扶沟
101181403 河南,太康
101181404 河南,淮阳
101181405 河南,西华
101181406 河南,商水
101181407 河南,项城
101181408 河南,郸城
101181409 河南,鹿邑
101181410 河南,沈丘
101181501 河南,漯河
101181502 河南,临颍
101181503 河南,舞阳
101181601 河南,驻马店
101181602 河南,西平
101181603 河南,遂平
101181604 河南,上蔡
101181605 河南,汝南
101181606 河南,泌阳
101181607 河南,平舆
101181608 河南,新蔡
101181609 河南,确山
101181610 河南,正阳
101181701 河南,三门峡
101181702 河南,灵宝
101181703 河南,渑池
101181704 河南,卢氏
101181705 河南,义马
101181706 河南,陕县
101181801 河南,济源
101190101 江苏,南京
101190102 江苏,溧水
101190103 江苏,高淳
101190104 江苏,江宁
101190105 江苏,六合
101190106 江苏,江浦
101190107 江苏,浦口
101190201 江苏,无锡
101190202 江苏,江阴
101190203 江苏,宜兴
101190204 江苏,锡山
101190301 江苏,镇江
101190302 江苏,丹阳
101190303 江苏,扬中
101190304 江苏,句容
101190305 江苏,丹徒
101190401 江苏,苏州
101190402 江苏,常熟
101190403 江苏,张家港
101190404 江苏,昆山
101190405 江苏,吴中
101190407 江苏,吴江
101190408 江苏,太仓
101190501 江苏,南通
101190502 江苏,海安
101190503 江苏,如皋
101190504 江苏,如东
101190507 江苏,启东
101190508 江苏,海门
101190509 江苏,通州
101190601 江苏,扬州
101190602 江苏,宝应
101190603 江苏,仪征
101190604 江苏,高邮
101190605 江苏,江都
101190606 江苏,邗江
101190701 江苏,盐城
101190702 江苏,响水
101190703 江苏,滨海
101190704 江苏,阜宁
101190705 江苏,射阳
101190706 江苏,建湖
101190707 江苏,东台
101190708 江苏,大丰
101190709 江苏,盐都
101190801 江苏,徐州
101190802 江苏,铜山
101190803 江苏,丰县
101190804 江苏,沛县
101190805 江苏,邳州
101190806 江苏,睢宁
101190807 江苏,新沂
101190901 江苏,淮安
101190902 江苏,金湖
101190903 江苏,盱眙
101190904 江苏,洪泽
101190905 江苏,涟水
101190906 江苏,淮阴区
101190908 江苏,淮安区
101191001 江苏,连云港
101191002 江苏,东海
101191003 江苏,赣榆
101191004 江苏,灌云
101191005 江苏,灌南
101191101 江苏,常州
101191102 江苏,溧阳
101191103 江苏,金坛
101191104 江苏,武进
101191201 江苏,泰州
101191202 江苏,兴化
101191203 江苏,泰兴
101191204 江苏,姜堰
101191205 江苏,靖江
101191301 江苏,宿迁
101191302 江苏,沭阳
101191303 江苏,泗阳
101191304 江苏,泗洪
101191305 江苏,宿豫
101200101 湖北,武汉
101200102 湖北,蔡甸
101200103 湖北,黄陂
101200104 湖北,新洲
101200105 湖北,江夏
101200106 湖北,东西湖
101200201 湖北,襄阳
101200202 湖北,襄州
101200203 湖北,保康
101200204 湖北,南漳
101200205 湖北,宜城
101200206 湖北,老河口
101200207 湖北,谷城
101200208 湖北,枣阳
101200301 湖北,鄂州
101200302 湖北,梁子湖
101200401 湖北,孝感
101200402 湖北,安陆
101200403 湖北,云梦
101200404 湖北,大悟
101200405 湖北,应城
101200406 湖北,汉川
101200407 湖北,孝昌
101200501 湖北,黄冈
101200502 湖北,红安
101200503 湖北,麻城
101200504 湖北,罗田
101200505 湖北,英山
101200506 湖北,浠水
101200507 湖北,蕲春
101200508 湖北,黄梅
101200509 湖北,武穴
101200510 湖北,团风
101200601 湖北,黄石
101200602 湖北,大冶
101200603 湖北,阳新
101200604 湖北,铁山
101200605 湖北,下陆
101200606 湖北,西塞山
101200701 湖北,咸宁
101200702 湖北,赤壁
101200703 湖北,嘉鱼
101200704 湖北,崇阳
101200705 湖北,通城
101200706 湖北,通山
101200801 湖北,荆州
101200802 湖北,江陵
101200803 湖北,公安
101200804 湖北,石首
101200805 湖北,监利
101200806 湖北,洪湖
101200807 湖北,松滋
101200901 湖北,宜昌
101200902 湖北,远安
101200903 湖北,秭归
101200904 湖北,兴山
101200906 湖北,五峰
101200907 湖北,当阳
101200908 湖北,长阳
101200909 湖北,宜都
101200910 湖北,枝江
101200911 湖北,三峡
101200912 湖北,夷陵
101201001 湖北,恩施
101201002 湖北,利川
101201003 湖北,建始
101201004 湖北,咸丰
101201005 湖北,宣恩
101201006 湖北,鹤峰
101201007 湖北,来凤
101201008 湖北,巴东
101201101 湖北,十堰
101201102 湖北,竹溪
101201103 湖北,郧西
101201104 湖北,郧县
101201105 湖北,竹山
101201106 湖北,房县
101201107 湖北,丹江口
101201108 湖北,茅箭
101201109 湖北,张湾
101201201 湖北,神农架
101201301 湖北,随州
101201302 湖北,广水
101201401 湖北,荆门
101201402 湖北,钟祥
101201403 湖北,京山
101201404 湖北,掇刀
101201405 湖北,沙洋
101201406 湖北,沙市
101201501 湖北,天门
101201601 湖北,仙桃
101201701 湖北,潜江
101210101 浙江,杭州
101210102 浙江,萧山
101210103 浙江,桐庐
101210104 浙江,淳安
101210105 浙江,建德
101210106 浙江,余杭
101210107 浙江,临安
101210108 浙江,富阳
101210201 浙江,湖州
101210202 浙江,长兴
101210203 浙江,安吉
101210204 浙江,德清
101210301 浙江,嘉兴
101210302 浙江,嘉善
101210303 浙江,海宁
101210304 浙江,桐乡
101210305 浙江,平湖
101210306 浙江,海盐
101210401 浙江,宁波
101210403 浙江,慈溪
101210404 浙江,余姚
101210405 浙江,奉化
101210406 浙江,象山
101210408 浙江,宁海
101210410 浙江,北仑
101210411 浙江,鄞州
101210412 浙江,镇海
101210501 浙江,绍兴
101210502 浙江,诸暨
101210503 浙江,上虞
101210504 浙江,新昌
101210505 浙江,嵊州
101210601 浙江,台州
101210603 浙江,玉环
101210604 浙江,三门
101210605 浙江,天台
101210606 浙江,仙居
101210607 浙江,温岭
101210609 浙江,洪家
101210610 浙江,临海
101210611 浙江,椒江
101210612 浙江,黄岩
101210613 浙江,路桥
101210701 浙江,温州
101210702 浙江,泰顺
101210703 浙江,文成
101210704 浙江,平阳
101210705 浙江,瑞安
101210706 浙江,洞头
101210707 浙江,乐清
101210708 浙江,永嘉
101210709 浙江,苍南
101210801 浙江,丽水
101210802 浙江,遂昌
101210803 浙江,龙泉
101210804 浙江,缙云
101210805 浙江,青田
101210806 浙江,云和
101210807 浙江,庆元
101210808 浙江,松阳
101210809 浙江,景宁
101210901 浙江,金华
101210902 浙江,浦江
101210903 浙江,兰溪
101210904 浙江,义乌
101210905 浙江,东阳
101210906 浙江,武义
101210907 浙江,永康
101210908 浙江,磐安
101211001 浙江,衢州
101211002 浙江,常山
101211003 浙江,开化
101211004 浙江,龙游
101211005 浙江,江山
101211006 浙江,衢江
101211101 浙江,舟山
101211102 浙江,嵊泗
101211104 浙江,岱山
101211105 浙江,普陀
101211106 浙江,定海
101220101 安徽,合肥
101220102 安徽,长丰
101220103 安徽,肥东
101220104 安徽,肥西
101220105 安徽,巢湖
101220106 安徽,庐江
101220201 安徽,蚌埠
101220202 安徽,怀远
101220203 安徽,固镇
101220204 安徽,五河
101220301 安徽,芜湖
101220302 安徽,繁昌
101220303 安徽,芜湖县
101220304 安徽,南陵
101220305 安徽,无为
101220401 安徽,淮南
101220402 安徽,凤台
101220403 安徽,潘集
101220501 安徽,马鞍山
101220502 安徽,当涂
101220503 安徽,含山
101220504 安徽,和县
101220601 安徽,安庆
101220602 安徽,枞阳
101220603 安徽,太湖
101220604 安徽,潜山
101220605 安徽,怀宁
101220606 安徽,宿松
101220607 安徽,望江
101220608 安徽,岳西
101220609 安徽,桐城
101220701 安徽,宿州
101220702 安徽,砀山
101220703 安徽,灵璧
101220704 安徽,泗县
101220705 安徽,萧县
101220801 安徽,阜阳
101220802 安徽,阜南
101220803 安徽,颍上
101220804 安徽,临泉
101220805 安徽,界首
101220806 安徽,太和
101220901 安徽,亳州
101220902 安徽,涡阳
101220903 安徽,利辛
101220904 安徽,蒙城
101221001 安徽,黄山
101221002 安徽,黄山区
101221003 安徽,屯溪
101221004 安徽,祁门
101221005 安徽,黟县
101221006 安徽,歙县
101221007 安徽,休宁
101221008 安徽,黄山风景区
101221101 安徽,滁州
101221102 安徽,凤阳
101221103 安徽,明光
101221104 安徽,定远
101221105 安徽,全椒
101221106 安徽,来安
101221107 安徽,天长
101221201 安徽,淮北
101221202 安徽,濉溪
101221301 安徽,铜陵
101221401 安徽,宣城
101221402 安徽,泾县
101221403 安徽,旌德
101221404 安徽,宁国
101221405 安徽,绩溪
101221406 安徽,广德
101221407 安徽,郎溪
101221501 安徽,六安
101221502 安徽,霍邱
101221503 安徽,寿县
101221505 安徽,金寨
101221506 安徽,霍山
101221507 安徽,舒城
101221701 安徽,池州
101221702 安徽,东至
101221703 安徽,青阳
101221704 安徽,九华山
101221705 安徽,石台
101230101 福建,福州
101230102 福建,闽清
101230103 福建,闽侯
101230104 福建,罗源
101230105 福建,连江
101230107 福建,永泰
101230108 福建,平潭
101230110 福建,长乐
101230111 福建,福清
101230201 福建,厦门
101230202 福建,同安
101230301 福建,宁德
101230302 福建,古田
101230303 福建,霞浦
101230304 福建,寿宁
101230305 福建,周宁
101230306 福建,福安
101230307 福建,柘荣
101230308 福建,福鼎
101230309 福建,屏南
101230401 福建,莆田
101230402 福建,仙游
101230403 福建,秀屿港
101230404 福建,涵江
101230405 福建,秀屿
101230406 福建,荔城
101230407 福建,城厢
101230501 福建,泉州
101230502 福建,安溪
101230504 福建,永春
101230505 福建,德化
101230506 福建,南安
101230507 福建,崇武
101230508 福建,惠安
101230509 福建,晋江
101230510 福建,石狮
101230601 福建,漳州
101230602 福建,长泰
101230603 福建,南靖
101230604 福建,平和
101230605 福建,龙海
101230606 福建,漳浦
101230607 福建,诏安
101230608 福建,东山
101230609 福建,云霄
101230610 福建,华安
101230701 福建,龙岩
101230702 福建,长汀
101230703 福建,连城
101230704 福建,武平
101230705 福建,上杭
101230706 福建,永定
101230707 福建,漳平
101230801 福建,三明
101230802 福建,宁化
101230803 福建,清流
101230804 福建,泰宁
101230805 福建,将乐
101230806 福建,建宁
101230807 福建,明溪
101230808 福建,沙县
101230809 福建,尤溪
101230810 福建,永安
101230811 福建,大田
101230901 福建,南平
101230902 福建,顺昌
101230903 福建,光泽
101230904 福建,邵武
101230905 福建,武夷山
101230906 福建,浦城
101230907 福建,建阳
101230908 福建,松溪
101230909 福建,政和
101230910 福建,建瓯
101231001 福建,钓鱼岛
101240101 江西,南昌
101240102 江西,新建
101240103 江西,南昌县
101240104 江西,安义
101240105 江西,进贤
101240201 江西,九江
101240202 江西,瑞昌
101240203 江西,庐山
101240204 江西,武宁
101240205 江西,德安
101240206 江西,永修
101240207 江西,湖口
101240208 江西,彭泽
101240209 江西,星子
101240210 江西,都昌
101240212 江西,修水
101240301 江西,上饶
101240302 江西,鄱阳
101240303 江西,婺源
101240305 江西,余干
101240306 江西,万年
101240307 江西,德兴
101240308 江西,上饶县
101240309 江西,弋阳
101240310 江西,横峰
101240311 江西,铅山
101240312 江西,玉山
101240313 江西,广丰
101240401 江西,抚州
101240402 江西,广昌
101240403 江西,乐安
101240404 江西,崇仁
101240405 江西,金溪
101240406 江西,资溪
101240407 江西,宜黄
101240408 江西,南城
101240409 江西,南丰
101240410 江西,黎川
101240411 江西,东乡
101240501 江西,宜春
101240502 江西,铜鼓
101240503 江西,宜丰
101240504 江西,万载
101240505 江西,上高
101240506 江西,靖安
101240507 江西,奉新
101240508 江西,高安
101240509 江西,樟树
101240510 江西,丰城
101240601 江西,吉安
101240602 江西,吉安县
101240603 江西,吉水
101240604 江西,新干
101240605 江西,峡江
101240606 江西,永丰
101240607 江西,永新
101240608 江西,井冈山
101240609 江西,万安
101240610 江西,遂川
101240611 江西,泰和
101240612 江西,安福
101240613 江西,宁冈
101240701 江西,赣州
101240702 江西,崇义
101240703 江西,上犹
101240704 江西,南康
101240705 江西,大余
101240706 江西,信丰
101240707 江西,宁都
101240708 江西,石城
101240709 江西,瑞金
101240710 江西,于都
101240711 江西,会昌
101240712 江西,安远
101240713 江西,全南
101240714 江西,龙南
101240715 江西,定南
101240716 江西,寻乌
101240717 江西,兴国
101240718 江西,赣县
101240801 江西,景德镇
101240802 江西,乐平
101240803 江西,浮梁
101240901 江西,萍乡
101240902 江西,莲花
101240903 江西,上栗
101240904 江西,安源
101240905 江西,芦溪
101240906 江西,湘东
101241001 江西,新余
101241002 江西,分宜
101241101 江西,鹰潭
101241102 江西,余江
101241103 江西,贵溪
101250101 湖南,长沙
101250102 湖南,宁乡
101250103 湖南,浏阳
101250104 湖南,马坡岭
101250105 湖南,望城
101250201 湖南,湘潭
101250202 湖南,韶山
101250203 湖南,湘乡
101250301 湖南,株洲
101250302 湖南,攸县
101250303 湖南,醴陵
101250305 湖南,茶陵
101250306 湖南,炎陵
101250401 湖南,衡阳
101250402 湖南,衡山
101250403 湖南,衡东
101250404 湖南,祁东
101250405 湖南,衡阳县
101250406 湖南,常宁
101250407 湖南,衡南
101250408 湖南,耒阳
101250409 湖南,南岳
101250501 湖南,郴州
101250502 湖南,桂阳
101250503 湖南,嘉禾
101250504 湖南,宜章
101250505 湖南,临武
101250507 湖南,资兴
101250508 湖南,汝城
101250509 湖南,安仁
101250510 湖南,永兴
101250511 湖南,桂东
101250512 湖南,苏仙
101250601 湖南,常德
101250602 湖南,安乡
101250603 湖南,桃源
101250604 湖南,汉寿
101250605 湖南,澧县
101250606 湖南,临澧
101250607 湖南,石门
101250608 湖南,津市
101250700 湖南,益阳
101250701 湖南,赫山区
101250702 湖南,南县
101250703 湖南,桃江
101250704 湖南,安化
101250705 湖南,沅江
101250801 湖南,娄底
101250802 湖南,双峰
101250803 湖南,冷水江
101250805 湖南,新化
101250806 湖南,涟源
101250901 湖南,邵阳
101250902 湖南,隆回
101250903 湖南,洞口
101250904 湖南,新邵
101250905 湖南,邵东
101250906 湖南,绥宁
101250907 湖南,新宁
101250908 湖南,武冈
101250909 湖南,城步
101250910 湖南,邵阳县
101251001 湖南,岳阳
101251002 湖南,华容
101251003 湖南,湘阴
101251004 湖南,汨罗
101251005 湖南,平江
101251006 湖南,临湘
101251101 湖南,张家界
101251102 湖南,桑植
101251103 湖南,慈利
101251104 湖南,武陵源
101251201 湖南,怀化
101251203 湖南,沅陵
101251204 湖南,辰溪
101251205 湖南,靖州
101251206 湖南,会同
101251207 湖南,通道
101251208 湖南,麻阳
101251209 湖南,新晃
101251210 湖南,芷江
101251211 湖南,溆浦
101251212 湖南,中方
101251213 湖南,洪江
101251401 湖南,永州
101251402 湖南,祁阳
101251403 湖南,东安
101251404 湖南,双牌
101251405 湖南,道县
101251406 湖南,宁远
101251407 湖南,江永
101251408 湖南,蓝山
101251409 湖南,新田
101251410 湖南,江华
101251411 湖南,冷水滩
101251501 湖南,吉首
101251502 湖南,保靖
101251503 湖南,永顺
101251504 湖南,古丈
101251505 湖南,凤凰
101251506 湖南,泸溪
101251507 湖南,龙山
101251508 湖南,花垣
101260101 贵州,贵阳
101260102 贵州,白云
101260103 贵州,花溪
101260104 贵州,乌当
101260105 贵州,息烽
101260106 贵州,开阳
101260107 贵州,修文
101260108 贵州,清镇
101260109 贵州,小河
101260110 贵州,云岩
101260111 贵州,南明
101260201 贵州,遵义
101260202 贵州,遵义县
101260203 贵州,仁怀
101260204 贵州,绥阳
101260205 贵州,湄潭
101260206 贵州,凤冈
101260207 贵州,桐梓
101260208 贵州,赤水
101260209 贵州,习水
101260210 贵州,道真
101260211 贵州,正安
101260212 贵州,务川
101260213 贵州,余庆
101260214 贵州,汇川
101260215 贵州,红花岗
101260301 贵州,安顺
101260302 贵州,普定
101260303 贵州,镇宁
101260304 贵州,平坝
101260305 贵州,紫云
101260306 贵州,关岭
101260401 贵州,都匀
101260402 贵州,贵定
101260403 贵州,瓮安
101260404 贵州,长顺
101260405 贵州,福泉
101260406 贵州,惠水
101260407 贵州,龙里
101260408 贵州,罗甸
101260409 贵州,平塘
101260410 贵州,独山
101260411 贵州,三都
101260412 贵州,荔波
101260501 贵州,凯里
101260502 贵州,岑巩
101260503 贵州,施秉
101260504 贵州,镇远
101260505 贵州,黄平
101260507 贵州,麻江
101260508 贵州,丹寨
101260509 贵州,三穗
101260510 贵州,台江
101260511 贵州,剑河
101260512 贵州,雷山
101260513 贵州,黎平
101260514 贵州,天柱
101260515 贵州,锦屏
101260516 贵州,榕江
101260517 贵州,从江
101260601 贵州,铜仁
101260602 贵州,江口
101260603 贵州,玉屏
101260604 贵州,万山
101260605 贵州,思南
101260607 贵州,印江
101260608 贵州,石阡
101260609 贵州,沿河
101260610 贵州,德江
101260611 贵州,松桃
101260701 贵州,毕节
101260702 贵州,赫章
101260703 贵州,金沙
101260704 贵州,威宁
101260705 贵州,大方
101260706 贵州,纳雍
101260707 贵州,织金
101260708 贵州,黔西
101260801 贵州,水城
101260802 贵州,六枝
101260804 贵州,盘县
101260901 贵州,兴义
101260902 贵州,晴隆
101260903 贵州,兴仁
101260904 贵州,贞丰
101260905 贵州,望谟
101260907 贵州,安龙
101260908 贵州,册亨
101260909 贵州,普安
101270101 四川,成都
101270102 四川,龙泉驿
101270103 四川,新都
101270104 四川,温江
101270105 四川,金堂
101270106 四川,双流
101270107 四川,郫县
101270108 四川,大邑
101270109 四川,蒲江
101270110 四川,新津
101270111 四川,都江堰
101270112 四川,彭州
101270113 四川,邛崃
101270114 四川,崇州
101270115 四川,青白江
101270201 四川,攀枝花
101270202 四川,仁和
101270203 四川,米易
101270204 四川,盐边
101270301 四川,自贡
101270302 四川,富顺
101270303 四川,荣县
101270401 四川,绵阳
101270402 四川,三台
101270403 四川,盐亭
101270404 四川,安县
101270405 四川,梓潼
101270406 四川,北川
101270407 四川,平武
101270408 四川,江油
101270501 四川,南充
101270502 四川,南部
101270503 四川,营山
101270504 四川,蓬安
101270505 四川,仪陇
101270506 四川,西充
101270507 四川,阆中
101270601 四川,达州
101270602 四川,宣汉
101270603 四川,开江
101270604 四川,大竹
101270605 四川,渠县
101270606 四川,万源
101270607 四川,通川
101270608 四川,达县
101270701 四川,遂宁
101270702 四川,蓬溪
101270703 四川,射洪
101270801 四川,广安
101270802 四川,岳池
101270803 四川,武胜
101270804 四川,邻水
101270805 四川,华蓥
101270901 四川,巴中
101270902 四川,通江
101270903 四川,南江
101270904 四川,平昌
101271001 四川,泸州
101271003 四川,泸县
101271004 四川,合江
101271005 四川,叙永
101271006 四川,古蔺
101271007 四川,纳溪
101271101 四川,宜宾
101271103 四川,宜宾县
101271104 四川,南溪
101271105 四川,江安
101271106 四川,长宁
101271107 四川,高县
101271108 四川,珙县
101271109 四川,筠连
101271110 四川,兴文
101271111 四川,屏山
101271201 四川,内江
101271202 四川,东兴
101271203 四川,威远
101271204 四川,资中
101271205 四川,隆昌
101271301 四川,资阳
101271302 四川,安岳
101271303 四川,乐至
101271304 四川,简阳
101271401 四川,乐山
101271402 四川,犍为
101271403 四川,井研
101271404 四川,夹江
101271405 四川,沐川
101271406 四川,峨边
101271407 四川,马边
101271408 四川,峨眉
101271409 四川,峨眉山
101271501 四川,眉山
101271502 四川,仁寿
101271503 四川,彭山
101271504 四川,洪雅
101271505 四川,丹棱
101271506 四川,青神
101271601 四川,凉山
101271603 四川,木里
101271604 四川,盐源
101271605 四川,德昌
101271606 四川,会理
101271607 四川,会东
101271608 四川,宁南
101271609 四川,普格
101271610 四川,西昌
101271611 四川,金阳
101271612 四川,昭觉
101271613 四川,喜德
101271614 四川,冕宁
101271615 四川,越西
101271616 四川,甘洛
101271617 四川,雷波
101271618 四川,美姑
101271619 四川,布拖
101271701 四川,雅安
101271702 四川,名山
101271703 四川,荥经
101271704 四川,汉源
101271705 四川,石棉
101271706 四川,天全
101271707 四川,芦山
101271708 四川,宝兴
101271801 四川,甘孜
101271802 四川,康定
101271803 四川,泸定
101271804 四川,丹巴
101271805 四川,九龙
101271806 四川,雅江
101271807 四川,道孚
101271808 四川,炉霍
101271809 四川,新龙
101271810 四川,德格
101271811 四川,白玉
101271812 四川,石渠
101271813 四川,色达
101271814 四川,理塘
101271815 四川,巴塘
101271816 四川,乡城
101271817 四川,稻城
101271818 四川,得荣
101271901 四川,阿坝
101271902 四川,汶川
101271903 四川,理县
101271904 四川,茂县
101271905 四川,松潘
101271906 四川,九寨沟
101271907 四川,金川
101271908 四川,小金
101271909 四川,黑水
101271910 四川,马尔康
101271911 四川,壤塘
101271912 四川,若尔盖
101271913 四川,红原
101272001 四川,德阳
101272002 四川,中江
101272003 四川,广汉
101272004 四川,什邡
101272005 四川,绵竹
101272006 四川,罗江
101272101 四川,广元
101272102 四川,旺苍
101272103 四川,青川
101272104 四川,剑阁
101272105 四川,苍溪
101280101 广东,广州
101280102 广东,番禺
101280103 广东,从化
101280104 广东,增城
101280105 广东,花都
101280201 广东,韶关
101280202 广东,乳源
101280203 广东,始兴
101280204 广东,翁源
101280205 广东,乐昌
101280206 广东,仁化
101280207 广东,南雄
101280208 广东,新丰
101280209 广东,曲江
101280210 广东,浈江
101280211 广东,武江
101280301 广东,惠州
101280302 广东,博罗
101280303 广东,惠阳
101280304 广东,惠东
101280305 广东,龙门
101280401 广东,梅州
101280402 广东,兴宁
101280403 广东,蕉岭
101280404 广东,大埔
101280406 广东,丰顺
101280407 广东,平远
101280408 广东,五华
101280409 广东,梅县
101280501 广东,汕头
101280502 广东,潮阳
101280503 广东,澄海
101280504 广东,南澳
101280601 广东,深圳
101280701 广东,珠海
101280702 广东,斗门
101280703 广东,金湾
101280800 广东,佛山
101280801 广东,顺德
101280802 广东,三水
101280803 广东,南海
101280804 广东,高明
101280901 广东,肇庆
101280902 广东,广宁
101280903 广东,四会
101280905 广东,德庆
101280906 广东,怀集
101280907 广东,封开
101280908 广东,高要
101281001 广东,湛江
101281002 广东,吴川
101281003 广东,雷州
101281004 广东,徐闻
101281005 广东,廉江
101281006 广东,赤坎
101281007 广东,遂溪
101281008 广东,坡头
101281009 广东,霞山
101281010 广东,麻章
101281101 广东,江门
101281103 广东,开平
101281104 广东,新会
101281105 广东,恩平
101281106 广东,台山
101281107 广东,蓬江
101281108 广东,鹤山
101281109 广东,江海
101281201 广东,河源
101281202 广东,紫金
101281203 广东,连平
101281204 广东,和平
101281205 广东,龙川
101281206 广东,东源
101281301 广东,清远
101281302 广东,连南
101281303 广东,连州
101281304 广东,连山
101281305 广东,阳山
101281306 广东,佛冈
101281307 广东,英德
101281308 广东,清新
101281401 广东,云浮
101281402 广东,罗定
101281403 广东,新兴
101281404 广东,郁南
101281406 广东,云安
101281501 广东,潮州
101281502 广东,饶平
101281503 广东,潮安
101281601 广东,东莞
101281701 广东,中山
101281801 广东,阳江
101281802 广东,阳春
101281803 广东,阳东
101281804 广东,阳西
101281901 广东,揭阳
101281902 广东,揭西
101281903 广东,普宁
101281904 广东,惠来
101281905 广东,揭东
101282001 广东,茂名
101282002 广东,高州
101282003 广东,化州
101282004 广东,电白
101282005 广东,信宜
101282006 广东,茂港
101282101 广东,汕尾
101282102 广东,海丰
101282103 广东,陆丰
101282104 广东,陆河
101290101 云南,昆明
101290103 云南,东川
101290104 云南,寻甸
101290105 云南,晋宁
101290106 云南,宜良
101290107 云南,石林
101290108 云南,呈贡
101290109 云南,富民
101290110 云南,嵩明
101290111 云南,禄劝
101290112 云南,安宁
101290113 云南,太华山
101290201 云南,大理
101290202 云南,云龙
101290203 云南,漾濞
101290204 云南,永平
101290205 云南,宾川
101290206 云南,弥渡
101290207 云南,祥云
101290208 云南,巍山
101290209 云南,剑川
101290210 云南,洱源
101290211 云南,鹤庆
101290212 云南,南涧
101290301 云南,红河
101290302 云南,石屏
101290303 云南,建水
101290304 云南,弥勒
101290305 云南,元阳
101290306 云南,绿春
101290307 云南,开远
101290308 云南,个旧
101290309 云南,蒙自
101290310 云南,屏边
101290311 云南,泸西
101290312 云南,金平
101290313 云南,河口
101290401 云南,曲靖
101290402 云南,沾益
101290403 云南,陆良
101290404 云南,富源
101290405 云南,马龙
101290406 云南,师宗
101290407 云南,罗平
101290408 云南,会泽
101290409 云南,宣威
101290501 云南,保山
